Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,03/24/2008,03/24/2008,Exempt,59049.90
Finance,Finance - Director's Office,Fiscal Sysms Manager (Fin Only,Permanent Full-time,09/03/2014,12/08/2015,Exempt,110000.00
Finance,Finance City Controller,Management Analyst III,Permanent Full-time,08/14/2017,08/14/2017,Exempt,84892.50
Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,07/09/2007,09/26/2022,Exempt,96523.88
Finance,Finance - Director's Office,Debt Manager (Fin Only),Permanent Full-time,02/19/2014,08/21/2023,Exempt,115000.00
Finance,Finance Retirement Bureau,Management Analyst III,Special Project w/ Retirement,12/17/2018,03/28/2022,Exempt,74970.00
Finance,Finance - Director's Office,Assistant Director,Permanent Full-time,04/17/2017,07/06/2021,Exempt,137812.50
Finance,Finance Purchasing,Procurement Spslt IV (Fin Only,Permanent Full-time,06/05/2017,07/30/2022,Exempt,88200.00
Finance,Finance Purchasing,Procurement Spslt IV (Fin Only,Permanent Full-time,10/03/2006,07/03/2023,Exempt,89000.00
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,09/24/2022,09/24/2022,Exempt,55392.73
Finance,Finance - Director's Office,"Cash & Investments Analyst, Sr",Permanent Full-time,05/18/2024,05/18/2024,Exempt,68250.00
Finance,Finance Purchasing,Purchasing Agent,Permanent Full-time,06/25/2018,06/25/2018,Exempt,126415.38
Finance,Finance - Director's Office,Risk Analyst (Finance only),Permanent Full-time,03/13/2021,03/13/2021,Exempt,79490.25
Finance,Finance - Director's Office,Debt Mgmt Spslt II (Fin Only),Permanent Full-time,01/27/2024,01/27/2024,Exempt,75000.00
Finance,Finance City Controller,Collection Coord,Permanent Full-time,01/08/2018,09/26/2022,Exempt,58140.34
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,05/18/2024,05/18/2024,Exempt,79380.00
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,07/27/2019,08/27/2022,Exempt,82329.00
Finance,Finance City Controller,Sr Accountant III (Fin only),Permanent Full-time,02/27/2017,06/03/2024,Exempt,69000.00
Finance,Finance - Director's Office,"Fiscal Sysms Mger, Sr (Fin Onl",Permanent Full-time,10/25/2013,11/20/2023,Exempt,116772.38
Finance,Finance - Director's Office,Debt Mgmt Spslt I (Fin Only),Permanent Full-time,08/29/2022,08/29/2022,Exempt,68250.00
Finance,Finance - Director's Office,Risk Manager (Fin Only),Permanent Full-time,05/28/2019,05/28/2019,Exempt,106562.36
Finance,Finance - Director's Office,Business Manager,Permanent Full-time,02/04/2002,09/12/2022,Exempt,69825.00
Finance,Finance City Controller,City Controller,Permanent Full-time,12/14/2015,07/06/2021,Exempt,126787.50
Finance,Finance - Director's Office,Fiscal Systems Administrator,Permanent Full-time,04/28/2008,12/08/2015,Exempt,90405.00
Finance,Finance City Controller,Customer Service Supervisor,Permanent Full-time,12/01/2014,02/25/2023,Exempt,68250.00
Finance,Finance City Controller,Collection Coord,Permanent Full-time,05/06/2023,05/06/2023,Exempt,57750.00
Finance,Finance - Director's Office,Director of Finance,Permanent Full-time,12/18/1992,01/08/2016,Exempt,188600.00
Human Resources,Human Resources,City Safety Officer,Permanent Full-time,08/01/2022,08/01/2022,Exempt,80850.00
Human Resources,Human Resources,Emp Rel Anly II (HR only),Permanent Full-time,10/04/2021,10/04/2021,Exempt,77175.00
Human Resources,Human Resources,Accountant II,Permanent Full-time,09/26/2022,09/26/2022,Exempt,53550.00
Human Resources,Human Resources,Emp Rel Anly I (HR only),Permanent Full-time,10/15/2018,08/30/2021,Exempt,73812.00
Human Resources,Human Resources,Talent Acquisition Manager,Permanent Full-time,11/04/2023,11/04/2023,Exempt,100000.00
Human Resources,Human Resources,Director of Human Resources,Permanent Full-time,05/22/2017,05/22/2017,Exempt,173352.00
Human Resources,Human Resources,Talent Acquisition Analyst I,Permanent Full-time,07/01/2023,07/01/2023,Exempt,65000.00
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,11/04/2023,11/04/2023,Exempt,65000.00
Human Resources,Human Resources,Talent Acquisition Analyst II,Permanent Full-time,03/09/2020,03/09/2020,Exempt,73812.38
Human Resources,Human Resources,Talent Acquisition Analyst II,Permanent Full-time,10/19/2019,10/19/2019,Exempt,81761.40
Human Resources,Human Resources,Org Dev Analyst I (HR only),Permanent Full-time,01/01/2014,01/01/2014,Exempt,58782.84
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,03/14/2022,03/14/2022,Exempt,69457.50
Human Resources,Human Resources,HR Admin Mgr (HR only),Permanent Full-time,02/03/1992,07/20/2019,Exempt,100800.00
Human Resources,Human Resources,Assistant Director,Permanent Full-time,04/20/2015,04/18/2022,Exempt,138915.00
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,06/21/2022,06/21/2022,Exempt,69457.50
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,09/18/2023,09/18/2023,Nonexempt,50400.00
Human Resources,Human Resources,Management Analyst III,Permanent Full-time,06/22/2019,12/18/2023,Exempt,65000.00
Human Resources,Human Resources,Org Dev Manager (HR only),Permanent Full-time,05/24/1999,09/16/2016,Exempt,101909.09
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,12/14/2020,09/23/2023,Exempt,63000.00
Human Resources,Human Resources,Management Analyst II,Permanent Full-time,11/13/2018,10/10/2022,Exempt,63000.00
Human Resources,Human Resources,Emp Rel Anly II (HR only),Permanent Full-time,02/24/2020,02/24/2020,Exempt,81761.40
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,01/02/2019,01/02/2019,Nonexempt,50400.00
Human Resources,Human Resources,Org Dev Analyst I (HR only),Permanent Full-time,09/21/2011,08/27/2012,Exempt,57914.33
Human Resources,Human Resources,Compensation Analyst I,Permanent Full-time,12/14/2015,08/14/2023,Exempt,70350.00
Human Resources,Human Resources,Talent Acquisition Analyst Sr,Permanent Full-time,06/27/2016,08/14/2023,Exempt,91697.68
Human Resources,Human Resources,Management Analyst III,Permanent Full-time,10/31/2022,10/31/2022,Exempt,68250.00
Human Resources,Human Resources,"Projects Manager, Senior",Permanent Full-time,06/01/2024,06/01/2024,Exempt,93000.00
Human Resources,Human Resources,Total Abnce Mgmt Mgr (HR only),Permanent Full-time,06/05/2021,09/23/2023,Exempt,100800.00
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,01/21/2020,01/21/2020,Nonexempt,50400.00
Human Resources,Human Resources,Compensation Manager,Special Project w/ Retirement,06/01/2007,08/27/2022,Exempt,100800.00
Human Resources,Human Resources,Compensation Analyst Senior,Permanent Full-time,05/30/2017,06/10/2024,Exempt,85000.00
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,06/08/2019,06/08/2019,Nonexempt,50400.00
Human Resources,Human Resources,Talent Acquisition Analyst Sr,Special Project w/ Retirement,06/15/2024,06/15/2024,Exempt,85000.00
Human Resources,Human Resources,Emp Relations Mgr (HR only),Permanent Full-time,05/23/2014,03/14/2022,Exempt,96468.75
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,04/25/2022,04/25/2022,Exempt,69457.50
Human Resources,Human Resources,Tota Abnce Mgmt Spec (HR only),Permanent Full-time,12/30/2023,12/30/2023,Nonexempt,45013.00
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,05/13/2023,05/13/2023,Nonexempt,50400.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/23/2010,07/08/2013,Nonexempt,30.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,08/28/2021,08/28/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Library Assistant - SC,State Comp Board Retirement,07/15/2023,07/15/2023,Nonexempt,20.68
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/09/2019,11/09/2019,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,03/12/2022,03/12/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Civilian Court Security,Constitutional OfficePart-time,07/26/1971,01/15/2015,Nonexempt,24.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,03/02/2019,03/12/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,10/08/1994,06/23/2008,Nonexempt,39.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/13/2019,04/13/2019,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,04/08/2009,04/08/2009,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,08/28/2021,08/28/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/23/2014,03/23/2014,Nonexempt,29.88
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/23/2009,07/23/2009,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,08/23/2016,08/23/2016,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/23/1998,06/23/2010,Nonexempt,35.48
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,12/08/2005,12/08/2005,Nonexempt,32.96
Sheriff and Jail,Judicial - Sheriff and Jail,Payroll & Benefits Coordinator,State Comp Board Retirement,12/16/1977,05/12/2018,Nonexempt,31.68
Sheriff and Jail,Judicial - Sheriff and Jail,Corrections Director,State Comp Board Retirement,11/14/1985,01/19/2019,Exempt,101900.23
Sheriff and Jail,Judicial - Sheriff and Jail,Fiscal Manager - SC,State Comp Board Retirement,02/16/1999,08/30/1999,Exempt,88510.76
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Colonel),State Comp Board Retirement,07/07/1986,05/15/1996,Exempt,151706.00
Sheriff and Jail,Judicial - Sheriff and Jail,Procurement Specialist - SC,State Comp Board Retirement,08/23/2005,08/23/2005,Nonexempt,29.18
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/23/2011,10/23/2011,Nonexempt,30.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,05/21/2022,05/21/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Inmate Rehabilitation Coord,State Comp Board Retirement,10/29/2021,09/24/2022,Nonexempt,26.74
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,06/17/2009,03/12/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Secretary I,State Comp Board Retirement,08/25/1997,01/19/2019,Nonexempt,21.17
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/10/2021,04/10/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,03/08/2013,03/08/2013,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,01/20/2018,01/20/2018,Nonexempt,26.31
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,01/08/2015,01/08/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,10/23/2006,02/08/2011,Nonexempt,31.29
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,07/16/2022,07/16/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/08/2023,04/08/2023,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,10/23/2003,10/23/2003,Nonexempt,34.52
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,12/08/2007,12/23/2012,Nonexempt,36.24
Sheriff and Jail,Judicial - Sheriff and Jail,Civilian Court Security,Constitutional OfficePart-time,03/02/1970,05/30/2006,Nonexempt,25.43
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/10/2020,11/18/2023,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,07/08/2007,06/23/2010,Nonexempt,29.02
Sheriff and Jail,Judicial - Sheriff and Jail,Assist Procurement Specialist,State Comp Board Retirement,01/02/1996,03/23/2014,Nonexempt,27.75
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,06/23/2013,06/23/2013,Nonexempt,30.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,09/23/2009,09/23/2009,Nonexempt,32.07
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,03/31/2018,03/31/2018,Nonexempt,26.31
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,06/23/2006,06/23/2006,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Records Clerk,State Comp Board Retirement,02/17/2018,06/01/2024,Nonexempt,18.90
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/08/1980,08/18/2018,Nonexempt,30.38
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,01/29/2022,01/29/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Records Clerk,State Comp Board Retirement,02/08/2013,02/08/2013,Nonexempt,22.07
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,09/15/2018,09/15/2018,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Property Technician - SC,State Comp Board Retirement,07/11/1994,05/15/1996,Nonexempt,27.43
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),State Comp Board Retirement,04/20/2024,04/20/2024,Nonexempt,21.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,01/16/2021,01/16/2021,Nonexempt,24.37
