115,Chemicals,James Ratcliffe,$16.2 B,United Kingdom
116,"Sports, real estate",Stanley Kroenke,$16.2 B,United States
117,WhatsApp,Jan Koum,$16.1 B,United States
118,Beer,Jorge Paulo Lemann & family,$15.7 B,Brazil
119,Steel,Lakshmi Mittal,$15.6 B,India
120,Warehouse automation,Rick Cohen & family,$15.6 B,United States
121,Messaging app,Pavel Durov,$15.5 B,United Arab Emirates
122,Supermarkets,Beate Heister,$15.4 B,Germany
122,Supermarkets,Karl Albrecht Jr. & family,$15.4 B,Germany
124,Hedge funds,Ray Dalio,$15.4 B,United States
125,"Energy, sports, entertainment",Philip Anschutz,$15.2 B,United States
126,Google,David Cheriton,$15.1 B,Canada
127,Semiconductors,Henry Nicholas III,$15.1 B,United States
128,Walmart,Christy Walton,$15.0 B,United States
129,"Oil & gas, banking",George Kaiser,$14.9 B,United States
130,medical devices,Li Xiting,$14.9 B,Singapore
131,Smartphones,Lei Jun,$14.8 B,China
132,Private equity,Leon Black,$14.7 B,United States
133,"Automobiles, batteries",Lu Xiangyang,$14.6 B,China
134,"Apple, Disney",Laurene Powell Jobs & family,$14.5 B,United States
135,Heineken,Charlene de Carvalho-Heineken & family,$14.4 B,Netherlands
136,Hermes,Nicolas Puech,$14.4 B,France
137,Retail,David Green & family,$14.4 B,United States
138,Dallas Cowboys,Jerry Jones,$14.2 B,United States
139,Real estate,Mangal Prabhat Lodha,$13.9 B,India
140,Coal,Dang Yanbao,$13.9 B,China
141,Private equity,George Roberts,$13.7 B,United States
142,"Aldi, Trader Joe's",Theo Albrecht Jr & family,$13.6 B,Germany
143,"Steel, telecom, investments",Alisher Usmanov,$13.6 B,Russia
144,"Cement, sugar",Aliko Dangote,$13.6 B,Nigeria
145,Venture capital,John Doerr,$13.6 B,United States
146,Vacuums,James Dyson,$13.4 B,United Kingdom
147,"Oil, banking, telecom",Mikhail Fridman,$13.3 B,Russia
148,Electronics,Barry Lam,$13.3 B,Taiwan
149,Package delivery,Wang Wei,$13.2 B,China
150,Banking,Uday Kotak,$13.2 B,India
151,Real estate,Joseph Lau,$13.1 B,Hong Kong
152,Oil,Jeffery Hildebrand,$12.8 B,United States
153,Internet media,Zhang Zhidong,$12.8 B,China
154,Real estate,Peter Woo,$12.7 B,Hong Kong
155,Automobiles,Eric Li,$12.7 B,China
156,"Real estate, construction",Georg Stumpf,$12.5 B,Austria
157,Private equity,Henry Kravis,$12.5 B,United States
158,Electronics,Terry Gou,$12.5 B,Taiwan
159,Estee Lauder,Leonard Lauder,$12.4 B,United States
160,Diversified,Dhanin Chearavanont,$12.4 B,Thailand
161,Hedge funds,Israel Englander,$12.4 B,United States
162,Automobiles,Wei Jianjun & family,$12.3 B,China
163,Fashion retail,Anders Holch Povlsen,$12.3 B,Denmark
164,Luxury goods,Giorgio Armani,$12.3 B,Italy
165,Batteries,Huang Shilin,$12.2 B,China
166,Aluminum products,Zheng Shuliang & family,$12.2 B,China
167,Software,Hasso Plattner & family,$12.0 B,Germany
168,Fidelity,Edward Johnson IV,$11.9 B,United States
169,Business software,David Duffield,$11.9 B,United States
170,Auto parts,Shahid Khan,$11.9 B,United States
171,Software services,Azim Premji,$11.9 B,India
172,Computer hardware,John Tu,$11.8 B,United States
173,Computer hardware,David Sun,$11.8 B,United States
174,"Palm oil, shipping, property",Robert Kuok,$11.8 B,Malaysia
175,Fintech,David Velez & family,$11.8 B,Colombia
176,Luxury goods,Johann Rupert & family,$11.7 B,South Africa
177,"Retail, media",Ricardo Salinas Pliego & family,$11.7 B,Mexico
178,Gas stations,Judy Love & family,$11.6 B,United States
179,Mining,Yu Yong,$11.6 B,China
180,Real estate,Manuel Villar,$11.6 B,Philippines
181,"Banks, real estate",Andrew Beal,$11.6 B,United States
182,Online retail,Michael Rubin,$11.5 B,United States
183,Mining,Ivan Glasenberg,$11.3 B,Switzerland
184,Walmart,Nancy Walton Laurie,$11.2 B,United States
185,Paints,Goh Cheng Liang,$11.2 B,Singapore
186,Money management,Ken Fisher,$11.2 B,United States
187,E-commerce,Sky Xu,$11.2 B,China
188,Real estate,Kwong Siu-hing,$11.2 B,Hong Kong
189,"Manufacturing, New England Patriots",Robert Kraft,$11.1 B,United States
190,"Biotech, investments",Ernesto Bertarelli,$11.1 B,Switzerland
191,Microsoft,Melinda French Gates,$11.0 B,United States
192,Casinos/hotels,Lui Che Woo,$11.0 B,Hong Kong
193,Investments,Mikhail Prokhorov,$11.0 B,Russia
194,Hardware stores,Eric Smidt,$10.9 B,United States
195,Media,Donald Newhouse,$10.9 B,United States
196,Walmart,Ann Walton Kroenke,$10.8 B,United States
197,Chick-fil-A,Trudy Cathy White,$10.8 B,United States
197,Chick-fil-A,Dan Cathy,$10.8 B,United States
197,Chick-fil-A,Bubba Cathy,$10.8 B,United States
200,Insurance,Patrick Ryan,$10.7 B,United States
201,Telecom,Sunil Mittal,$10.7 B,India
202,Software,Mike Cannon-Brookes,$10.7 B,Australia
203,Gold,Suleiman Kerimov & family,$10.7 B,Russia
204,Finance,Antony Ressler,$10.6 B,United States
205,Steel,Viktor Rashnikov,$10.6 B,Russia
206,Samsung,Jay Y. Lee,$10.6 B,South Korea
207,Agriculture,Harry Stine,$10.6 B,United States
208,Pharmaceuticals,Pankaj Patel,$10.5 B,India
209,Oil,Leonid Fedun,$10.5 B,Russia
210,Beer,Marcel Herrmann Telles & family,$10.4 B,Brazil
211,Manufacturing,Friedhelm Loh,$10.4 B,Germany
212,Manufacturing,Anthony Pratt,$10.4 B,Australia
213,Software,Scott Farquhar,$10.4 B,Australia
214,Discount brokerage,Charles Schwab,$10.3 B,United States
215,Ports,Enrique Razon Jr.,$10.3 B,Philippines
216,Software,James Goodnight,$10.3 B,United States
217,Trading,Alexander Gerko,$10.3 B,United Kingdom
218,Mortgage lender,Mat Ishbia,$10.3 B,United States
219,Cryptocurrency,Brian Armstrong,$10.2 B,United States
220,Used cars,Ernest Garcia II,$10.2 B,United States
221,Medical devices,Carl Cook,$10.2 B,United States
222,Security software,Jay Chaudhry,$10.2 B,United States
223,Zara,Sandra Ortega Mera,$10.1 B,Spain
224,"Internet, telecom",Xavier Niel,$10.1 B,France
225,Packaging,Graeme Hart,$10.1 B,New Zealand
226,Real estate,Stephen Ross,$10.1 B,United States
227,Fidelity,Elizabeth Johnson,$10.1 B,United States
228,Sporting goods retail,John Morris,$10.0 B,United States
229,Shoes,Zhang Congyuan,$10.0 B,Taiwan
230,"Alcohol, real estate",Charoen Sirivadhanabhakdi,$9.9 B,Thailand
231,Diversified,Antonia Ax:son Johnson & family,$9.9 B,Sweden
232,Diversified,Liu Yongxing,$9.9 B,China
233,Airbnb,Brian Chesky,$9.9 B,United States
234,"Fertilizer, real estate",Viatcheslav Kantor,$9.8 B,Russia
235,Home Depot,Bernard Marcus,$9.8 B,United States
236,Video surveillance,Gong Hongjia & family,$9.8 B,Hong Kong
237,"Steel, investments",Roman Abramovich & family,$9.7 B,Russia
238,Private equity,Michael Kim,$9.7 B,United States
239,Oil,Carrie Perrodo & family,$9.7 B,France
240,Airbnb,Nathan Blecharczyk,$9.6 B,United States
241,Food delivery,Wang Xing,$9.6 B,China
242,Cable television,John Malone,$9.6 B,United States
243,Diamonds,Nicky Oppenheimer & family,$9.5 B,South Africa
244,Pharmaceuticals,Ludwig Merckle,$9.5 B,Germany
245,Pharmaceuticals,Thomas Struengmann & family,$9.5 B,Germany
245,Pharmaceuticals,Andreas Struengmann & family,$9.5 B,Germany
247,Hedge funds,Christopher Hohn,$9.5 B,United Kingdom
248,"Candy, pet food",Victoria Mars,$9.5 B,United States
248,"Candy, pet food",Valerie Mars,$9.5 B,United States
248,"Candy, pet food",Marijke Mars,$9.5 B,United States
248,"Candy, pet food",Pamela Mars,$9.5 B,United States
252,"Investments, real estate",David Reuben,$9.4 B,United Kingdom
252,"Real estate, investments",Simon Reuben,$9.4 B,United Kingdom
254,Diversified,Shapoor Mistry,$9.4 B,Ireland
255,Energy,Sarath Ratanavadi,$9.4 B,Thailand
256,Petrochemicals,Li Shuirong & family,$9.4 B,China
257,Medical devices,Xu Hang,$9.3 B,Hong Kong
258,Hedge funds,William Ackman,$9.3 B,United States
259,Fertilizers,Andrei Guryev & family,$9.3 B,Russia
260,"Oil and gas, IT, lotteries",Karel Komarek,$9.3 B,Czech Republic
261,Investments,Vincent Bolloré & family,$9.3 B,France
262,"Energy, investments",Daniel Kretinsky,$9.2 B,Czech Republic
263,Private equity,Robert F. Smith,$9.2 B,United States
264,Cryptocurrency,Giancarlo Devasini,$9.2 B,Italy
265,"Entertainment, Houston Rockets",Tilman Fertitta,$9.2 B,United States
266,Apparel,Ralph Lauren,$9.2 B,United States
267,Investments,Francine von Finck & family,$9.2 B,Germany
268,Auto parts,Georg Schaeffler,$9.1 B,Germany
269,Private equity,Tom Gores,$9.1 B,United States
270,"Hotels, investments",Robert Rowling,$9.1 B,United States
271,Online games,Igor Bukhman,$9.0 B,Israel
271,Online games,Dmitri Bukhman,$9.0 B,Israel
273,Food distribution,J. Christopher Reyes,$9.0 B,United States
273,Food distribution,Jude Reyes,$9.0 B,United States
275,Private equity,Ramzi Musallam,$9.0 B,United States
276,Investments,Ken Langone,$9.0 B,United States
277,Diversified,Jim Pattison,$8.9 B,Canada
278,Shipping,Tanya Saadé Zeenny,$8.9 B,France
278,Shipping,Jacques Saadé Jr,$8.9 B,France
278,Shipping,Rodolphe Saadé,$8.9 B,France
281,Business software,Marc Benioff,$8.9 B,United States
282,Airbnb,Joe Gebbia,$8.9 B,United States
283,"Construction, investments",Nassef Sawiris,$8.9 B,Egypt
284,Pharmaceuticals,Zhong Huijuan,$8.8 B,China
285,Real estate,Alexander Otto,$8.8 B,Germany
286,Private equity,Josh Harris,$8.8 B,United States
287,"Banking, property",Quek Leng Chan,$8.8 B,Malaysia
288,Private equity,Orlando Bravo,$8.7 B,United States
289,Pipelines,Richard Kinder,$8.6 B,United States
290,Venture capital,Mark Stevens,$8.6 B,United States
291,"Oil, banking, telecom",German Khan,$8.6 B,Russia
292,Automobiles,Piero Ferrari,$8.6 B,Italy
293,Retail,M.A. Yusuff Ali,$8.6 B,India
294,Cheese,Marie Besnier Beauvalot,$8.6 B,France
294,Cheese,Jean-Michel Besnier,$8.6 B,France
296,"Retail, investments",Gopikishan Damani,$8.6 B,India
297,E-commerce,Joseph Tsai,$8.5 B,Canada
298,Investments,Eric Wittouck,$8.5 B,Belgium
299,Motorcycles,Vikram Lal & family,$8.5 B,India
300,Electronics components,Wang Laisheng,$8.4 B,Hong Kong
301,Beer,Carlos Alberto Sicupira & family,$8.4 B,Brazil
302,Investments,Rekha Jhunjhunwala,$8.4 B,India
303,Pharmaceuticals,Sun Piaoyang,$8.4 B,China
304,Hedge funds,David Shaw,$8.3 B,United States
305,Smartphone screens,Zhou Qunfei,$8.3 B,Hong Kong
306,Online gambling,Denise Coates,$8.3 B,United Kingdom
307,"Mining, metals, machinery",Iskander Makhmudov,$8.3 B,Russia
308,Mapping software,Jack Dangermond,$8.2 B,United States
309,Electronics components,Wang Laichun,$8.2 B,Hong Kong
310,Subway,Elisabeth DeLuca & family,$8.2 B,United States
311,Diversified,Laurent Dassault,$8.2 B,France
311,Diversified,Thierry Dassault,$8.2 B,France
311,Diversified,Marie-Hélène Habert-Dassault,$8.2 B,France
314,Home Depot,Arthur Blank,$8.2 B,United States
315,Real estate,Francis Choi,$8.2 B,Hong Kong
316,Real estate,Leonard Stern,$8.1 B,United States
317,"Manufacturing, investments",Steven Rales,$8.1 B,United States
318,Investments,Carl Bennet,$8.1 B,Sweden
319,Hedge funds,Paul Tudor Jones II,$8.1 B,United States
320,Beverages,Lin Muqin & family,$8.1 B,China
321,Real estate,Ivar Tollefsen,$8.1 B,Norway
322,Venture capital,Douglas Leone,$8.1 B,United States
323,Petrochemicals,Sri Prakash Lohia,$8.1 B,Indonesia
324,Coffee,Michael Herz,$8.1 B,Germany
324,Coffee,Wolfgang Herz,$8.1 B,Germany
326,Banking,Jaime Gilinski Bacal,$8.1 B,Colombia
327,"Gas stations, retail",Jimmy Haslam,$8.0 B,United States
328,"Movies, record labels",David Geffen,$8.0 B,United States
329,Pharmaceuticals,Zhu Yi,$8.0 B,China
330,Pharmaceuticals,Massimiliana Landini Aleotti & family,$8.0 B,Italy
331,Health care,Frederik Paulsen,$8.0 B,Sweden
332,Carnival Cruises,Micky Arison,$8.0 B,United States
333,Shipping,Helmut Sohmen,$8.0 B,Austria
334,"Snacks, beverages",Xu Shihui,$7.9 B,China
335,Diversified,Alejandro Baillères Gual & family,$7.9 B,Mexico
336,Medical equipment,Ronda Stryker,$7.9 B,United States
337,"Retail, real estate",Michael Otto,$7.9 B,Germany
338,Software,Richard White,$7.9 B,Australia
339,Cargill,Pauline MacMillan Keinath,$7.9 B,United States
340,Fintech,Guillaume Pousaz,$7.8 B,Switzerland
341,Pipelines,Randa Duncan Williams,$7.8 B,United States
342,Real estate,Law Kar Po,$7.7 B,Hong Kong
343,Hedge funds,Bruce Kovner,$7.7 B,United States
344,Coal mines,Pavel Tykac,$7.7 B,Czech Republic
345,Real estate,Igor Olenicoff,$7.7 B,United States
346,Pharmaceuticals,Hasmukh Chudgar & family,$7.7 B,India
347,Microsoft,Charles Simonyi,$7.7 B,United States
348,Pipelines,Dannine Avara,$7.7 B,United States
349,Pipelines,Scott Duncan,$7.7 B,United States
349,Pipelines,Milane Frantz,$7.7 B,United States
351,Auto parts,Vivek Chaand Sehgal,$7.7 B,Australia
352,Pharmaceuticals,Murali Divi & family,$7.7 B,India
353,"mining, investment",Agoes Projosasmito,$7.6 B,Indonesia
354,Supermarkets,Charles Butt,$7.6 B,United States
355,IT provider,David Steward,$7.6 B,United States
356,Construction equipment,Anthony Bamford & family,$7.6 B,United Kingdom
357,Cement,Benu Gopal Bangur,$7.6 B,India
358,Natural gas distribution,Wang Yusuo & family,$7.5 B,China
359,"Real estate, investments",Fredrik Lundberg,$7.5 B,Sweden
360,"Real estate, investments",Jeff Greene,$7.5 B,United States
361,"Sun Microsystems, venture capital",Vinod Khosla,$7.5 B,United States
362,"Facebook, investments",Peter Thiel,$7.4 B,United States
363,E-commerce,Tatyana Bakalchuk,$7.4 B,Russia
364,"Metals, investments",Viktor Vekselberg,$7.4 B,Russia
365,Wireless networking,Robert Pera,$7.4 B,United States
366,Healthcare software,Judy Faulkner,$7.4 B,United States
367,Auto loans,Don Hankey,$7.4 B,United States
368,"Textiles, apparel",Ma Jianrong,$7.4 B,China
369,Medical equipment,John Brown,$7.4 B,United States
370,Investments,Jonathan Gray,$7.3 B,United States
371,Convinience stores,Alain Bouchard,$7.3 B,Canada
372,Chemicals,Magdalena Martullo-Blocher,$7.3 B,Switzerland
373,Hedge funds,David Siegel,$7.3 B,United States
373,Hedge funds,John Overdeck,$7.3 B,United States
375,Chemicals,Rahel Blocher,$7.3 B,Switzerland
376,Auto parts,Juergen Blickle,$7.3 B,Germany
377,Aviation,Rahul Bhatia,$7.3 B,India
378,Frozen foods,Robert Rich Jr,$7.2 B,United States
379,Investments,Nadia Thiele,$7.2 B,Germany
380,Cruises,Torstein Hagen,$7.2 B,Norway
381,"Oil, real estate",Ray Lee Hunt,$7.2 B,United States
382,Telecom,Rocco Commisso,$7.2 B,United States
383,Hedge funds,Andreas Halvorsen,$7.2 B,Norway
384,Cement,Thomas Schmidheiny,$7.2 B,Switzerland
385,Payment software,Patrick Collison,$7.2 B,Ireland
385,Payment software,John Collison,$7.2 B,Ireland
387,Packaging,Finn Rausing,$7.1 B,Sweden
388,Packaging,Kirsten Rausing,$7.1 B,Sweden
388,Packaging,Jorn Rausing,$7.1 B,Sweden
390,Alcoholic beverages,Anthony von Mandl,$7.1 B,Canada
391,Soy sauce,Pang Kang,$7.1 B,China
392,"Construction, mining",Dennis Washington,$7.1 B,United States
393,Spotify,Martin Lorentzon,$7.0 B,Sweden
394,Electronics,Jason Chang,$7.0 B,Singapore
395,Chemicals,Chen Jianhua,$7.0 B,China
396,Real Estate,Philip Ng,$7.0 B,Singapore
397,Telecom,Rakesh Mittal,$7.0 B,India
398,Telecom,Rajan Mittal,$7.0 B,India
399,Vaccines,Jiang Rensheng & family,$7.0 B,China
400,Medical devices,Reinhold Schmieding,$7.0 B,United States
401,Finance,Jean Salata,$7.0 B,Chile
402,"Trading, investments",Arthur Dantchik,$7.0 B,United States
403,Gambling,Johann Graf,$7.0 B,Austria
404,Agribusiness,Liu Hanyuan,$7.0 B,China
405,Biotech,Seo Jung-jin,$7.0 B,South Korea
406,"Staffing, Baltimore Ravens",Stephen Bisciotti,$7.0 B,United States
407,"Homebuilding, insurance",Edythe Broad & family,$7.0 B,United States
408,Private equity,John Grayken,$6.9 B,Ireland
409,Real estate,Robert Ng,$6.9 B,Singapore
410,Pharmaceuticals,Viktor Kharitonin,$6.9 B,Russia
411,Real estate,Edward Roski Jr,$6.9 B,United States
412,Banking,Luis Carlos Sarmiento,$6.9 B,Colombia
413,Natural gas,Terrence Pegula,$6.8 B,United States
414,IT provider,Thai Lee,$6.8 B,United States
415,"Pharmaceuticals, power",Samir Mehta,$6.8 B,India
416,"Pharmaceuticals, power",Sudhir Mehta,$6.8 B,India
417,Private equity,Marc Rowan,$6.8 B,United States
418,"Retail, real estate",Nathan Kirsh,$6.8 B,Eswatini (Swaziland)
419,"Banking, minerals",Fernando Roberto Moreira Salles,$6.8 B,Brazil
420,Electronics,Pierre Chen,$6.8 B,Taiwan
421,Telecom,Patrick Drahi,$6.8 B,France
422,Investments,Eric Douglas,$6.7 B,Sweden
423,Investments,Michal Solowow,$6.7 B,Poland
424,Metals and mining,Andrei Skoch & family,$6.7 B,Russia
425,"Oil, banking, telecom",Alexei Kuzmichev,$6.7 B,Russia
426,"Telecom, oil",Mike Adenuga,$6.7 B,Nigeria
427,Real estate,Neil Bluhm,$6.7 B,United States
428,Hedge funds,George Soros,$6.7 B,United States
429,Investments,Carl Douglas,$6.7 B,Sweden
430,Pest control,Gary Rollins,$6.7 B,United States
431,In-N-Out Burger,Lynsi Snyder,$6.7 B,United States
432,"Hotels, investments",Karen Pritzker,$6.6 B,United States
433,Hydraulic machinery,Wang Liping & family,$6.6 B,China
434,Batteries,Pei Zhenhua,$6.6 B,China
435,Packaging materials,Elizabeth Uihlein,$6.6 B,United States
435,Packaging materials,Richard Uihlein,$6.6 B,United States
437,"Hotels, investments",Thomas Pritzker,$6.6 B,United States
438,"Heating, cooling equipment",Maximilian Viessmann,$6.5 B,Germany
439,Real estate,Radovan Vitek,$6.5 B,Czech Republic
440,E-commerce,Marcos Galperin,$6.5 B,Argentina
441,Real estate,Wu Yajun,$6.5 B,China
442,Sports apparel,Ding Shizhong,$6.5 B,China
443,Insurance,Thomas Hagen,$6.5 B,United States
444,Investments,Michael Milken,$6.5 B,United States
445,Power strips,Ruan Liping,$6.5 B,Hong Kong
446,Investments,Frank Lowy,$6.5 B,Australia
447,Supermarkets,Mark Meijer & family,$6.5 B,United States
448,Supermarkets,Hank Meijer & family,$6.5 B,United States
449,Supermarkets,Doug Meijer & family,$6.5 B,United States
450,Power strip,Ruan Xueping,$6.5 B,Hong Kong
451,"Steel, mining",Alexander Abramov,$6.4 B,Russia
452,Beverages,Don Vultaggio & family,$6.4 B,United States
453,Gambling software,Teddy Sagi,$6.4 B,Israel
454,Investments,Joe Lewis,$6.4 B,United Kingdom
455,Shipping,Maria Angelicoussis,$6.4 B,Greece
456,"Plush toys, real estate",Ty Warner,$6.4 B,United States
457,Lego,Agnete Kirk Thinggaard,$6.4 B,Denmark
457,Lego,Thomas Kirk Kristiansen,$6.4 B,Denmark
457,Lego,Sofie Kirk Kristiansen,$6.4 B,Denmark
460,Pharmaceuticals,Patrick Soon-Shiong,$6.4 B,United States
461,"Banking, minerals",Pedro Moreira Salles,$6.4 B,Brazil
462,Fertilizer,Dmitry Rybolovlev & family,$6.4 B,Russia
463,Medical devices,Niels Peter Louis-Hansen,$6.4 B,Denmark
464,"Hotels, energy",Michael Kadoorie,$6.4 B,Hong Kong
465,"Energy, investments",Maria Fernanda Amorim & family,$6.3 B,Portugal
466,Hospitals,Chen Bang,$6.3 B,China
467,Personal care goods,Takahisa Takahara,$6.3 B,Japan
468,"EBay, PayPal",Pierre Omidyar,$6.3 B,United States
469,Construction equipment,Liang Wengen,$6.3 B,China
470,Fintech,Vyacheslav Kim,$6.3 B,Kazakhstan
471,New Balance,Jim Davis & family,$6.3 B,United States
472,Real estate,Annette Lerner & family,$6.3 B,United States
473,Pharmaceuticals,Wolfgang Marguerre & family,$6.3 B,Germany
474,Real estate,Wang Jianlin,$6.3 B,China
475,Metalworking tools,Stef Wertheimer & family,$6.3 B,Israel
476,Polyurethanes,You Xiaoping & family,$6.2 B,China
477,Vodka,Bert Beveridge,$6.2 B,United States
478,Private equity,David Bonderman,$6.2 B,United States
479,Sports apparel,Ding Shijia,$6.2 B,China
480,"Beer, investments",Maria Asuncion Aramburuzabala & family,$6.2 B,Mexico
481,Smartphones,Bin Lin,$6.2 B,United States
482,Pipelines,Kelcy Warren,$6.2 B,United States
