,Survived,Pclass,Sex,Age,Fare
77,0,3,1,24.0,8.05
79,1,3,0,30.0,12.475
80,0,3,1,22.0,9.0
81,1,3,1,29.0,9.5
82,1,3,0,24.0,7.7875
83,0,1,1,28.0,47.1
84,1,2,0,17.0,10.5
85,1,3,0,33.0,15.85
86,0,3,1,16.0,34.375
87,0,3,1,24.0,8.05
88,1,1,0,23.0,263.0
89,0,3,1,24.0,8.05
90,0,3,1,29.0,8.05
91,0,3,1,20.0,7.8542
92,0,1,1,46.0,61.175
93,0,3,1,26.0,20.575
94,0,3,1,59.0,7.25
95,0,3,1,24.0,8.05
96,0,1,1,71.0,34.6542
97,1,1,1,23.0,63.3583
98,1,2,0,34.0,23.0
99,0,2,1,34.0,26.0
100,0,3,0,28.0,7.8958
101,0,3,1,24.0,7.8958
102,0,1,1,21.0,77.2875
103,0,3,1,33.0,8.6542
104,0,3,1,37.0,7.925
105,0,3,1,28.0,7.8958
106,1,3,0,21.0,7.65
107,1,3,1,24.0,7.775
108,0,3,1,38.0,7.8958
109,1,3,0,24.0,24.15
110,0,1,1,47.0,52.0
111,0,3,0,14.5,14.4542
112,0,3,1,22.0,8.05
113,0,3,0,20.0,9.825
114,0,3,0,17.0,14.4583
115,0,3,1,21.0,7.925
116,0,3,1,70.5,7.75
117,0,2,1,29.0,21.0
118,0,1,1,24.0,247.5208
119,0,3,0,2.0,31.275
120,0,2,1,21.0,73.5
121,0,3,1,24.0,8.05
122,0,2,1,32.5,30.0708
123,1,2,0,32.5,13.0
124,0,1,1,54.0,77.2875
125,1,3,1,12.0,11.2417
126,0,3,1,24.0,7.75
127,1,3,1,24.0,7.1417
128,1,3,0,24.0,22.3583
129,0,3,1,45.0,6.975
130,0,3,1,33.0,7.8958
131,0,3,1,20.0,7.05
132,0,3,0,47.0,14.5
133,1,2,0,29.0,26.0
134,0,2,1,25.0,13.0
135,0,2,1,23.0,15.0458
136,1,1,0,19.0,26.2833
137,0,1,1,37.0,53.1
138,0,3,1,16.0,9.2167
139,0,1,1,24.0,79.2
140,0,3,0,24.0,15.2458
141,1,3,0,22.0,7.75
142,1,3,0,24.0,15.85
143,0,3,1,19.0,6.75
144,0,2,1,18.0,11.5
145,0,2,1,19.0,36.75
146,1,3,1,27.0,7.7958
147,0,3,0,9.0,34.375
148,0,2,1,36.5,26.0
149,0,2,1,42.0,13.0
150,0,2,1,51.0,12.525
151,1,1,0,22.0,66.6
152,0,3,1,55.5,8.05
153,0,3,1,40.5,14.5
154,0,3,1,24.0,7.3125
155,0,1,1,51.0,61.3792
156,1,3,0,16.0,7.7333
157,0,3,1,30.0,8.05
158,0,3,1,24.0,8.6625
159,0,3,1,24.0,69.55
160,0,3,1,44.0,16.1
161,1,2,0,40.0,15.75
162,0,3,1,26.0,7.775
163,0,3,1,17.0,8.6625
164,0,3,1,1.0,39.6875
165,1,3,1,9.0,20.525
166,1,1,0,37.0,55.0
167,0,3,0,45.0,27.9
168,0,1,1,37.0,25.925
169,0,3,1,28.0,56.4958
170,0,1,1,61.0,33.5
171,0,3,1,4.0,29.125
172,1,3,0,1.0,11.1333
173,0,3,1,21.0,7.925
174,0,1,1,56.0,30.6958
175,0,3,1,18.0,7.8542
176,0,3,1,24.0,25.4667
177,0,1,0,50.0,28.7125
178,0,2,1,30.0,13.0
179,0,3,1,36.0,0.0
180,0,3,0,24.0,69.55
181,0,2,1,29.0,15.05
182,0,3,1,9.0,31.3875
183,1,2,1,1.0,39.0
184,1,3,0,4.0,22.025
185,0,1,1,37.0,50.0
186,1,3,0,24.0,15.5
187,1,1,1,45.0,26.55
188,0,3,1,40.0,15.5
189,0,3,1,36.0,7.8958
190,1,2,0,32.0,13.0
191,0,2,1,19.0,13.0
192,1,3,0,19.0,7.8542
193,1,2,1,3.0,26.0
194,1,1,0,44.0,27.7208
195,1,1,0,58.0,146.5208
196,0,3,1,24.0,7.75
197,0,3,1,42.0,8.4042
198,1,3,0,24.0,7.75
199,0,2,0,24.0,13.0
200,0,3,1,28.0,9.5
201,0,3,1,24.0,69.55
202,0,3,1,34.0,6.4958
203,0,3,1,45.5,7.225
204,1,3,1,18.0,8.05
205,0,3,0,2.0,10.4625
206,0,3,1,32.0,15.85
207,1,3,1,26.0,18.7875
208,1,3,0,16.0,7.75
209,1,1,1,40.0,31.0
210,0,3,1,24.0,7.05
211,1,2,0,35.0,21.0
212,0,3,1,22.0,7.25
213,0,2,1,30.0,13.0
214,0,3,1,24.0,7.75
215,1,1,0,31.0,113.275
216,1,3,0,27.0,7.925
217,0,2,1,42.0,27.0
218,1,1,0,32.0,76.2917
219,0,2,1,30.0,10.5
220,1,3,1,16.0,8.05
221,0,2,1,27.0,13.0
222,0,3,1,51.0,8.05
223,0,3,1,24.0,7.8958
224,1,1,1,38.0,90.0
225,0,3,1,22.0,9.35
226,1,2,1,19.0,10.5
227,0,3,1,20.5,7.25
228,0,2,1,18.0,13.0
229,0,3,0,24.0,25.4667
230,1,1,0,35.0,83.475
231,0,3,1,29.0,7.775
232,0,2,1,59.0,13.5
233,1,3,0,5.0,31.3875
234,0,2,1,24.0,10.5
235,0,3,0,24.0,7.55
236,0,2,1,44.0,26.0
237,1,2,0,8.0,26.25
238,0,2,1,19.0,10.5
239,0,2,1,33.0,12.275
240,0,3,0,24.0,14.4542
241,1,3,0,24.0,15.5
242,0,2,1,29.0,10.5
243,0,3,1,22.0,7.125
244,0,3,1,30.0,7.225
245,0,1,1,44.0,90.0
246,0,3,0,25.0,7.775
247,1,2,0,24.0,14.5
248,1,1,1,37.0,52.5542
249,0,2,1,54.0,26.0
250,0,3,1,24.0,7.25
251,0,3,0,29.0,10.4625
252,0,1,1,62.0,26.55
253,0,3,1,30.0,16.1
254,0,3,0,41.0,20.2125
255,1,3,0,29.0,15.2458
256,1,1,0,37.0,79.2
257,1,1,0,30.0,86.5
258,1,1,0,35.0,512.3292
259,1,2,0,50.0,26.0
260,0,3,1,24.0,7.75
261,1,3,1,3.0,31.3875
262,0,1,1,52.0,79.65
263,0,1,1,40.0,0.0
264,0,3,0,24.0,7.75
265,0,2,1,36.0,10.5
266,0,3,1,16.0,39.6875
267,1,3,1,25.0,7.775
268,1,1,0,58.0,153.4625
269,1,1,0,35.0,135.6333
270,0,1,1,37.0,31.0
271,1,3,1,25.0,0.0
272,1,2,0,41.0,19.5
273,0,1,1,37.0,29.7
274,1,3,0,24.0,7.75
275,1,1,0,63.0,77.9583
276,0,3,0,45.0,7.75
277,0,2,1,29.0,0.0
278,0,3,1,7.0,29.125
279,1,3,0,35.0,20.25
280,0,3,1,65.0,7.75
281,0,3,1,28.0,7.8542
282,0,3,1,16.0,9.5
283,1,3,1,19.0,8.05
284,0,1,1,37.0,26.0
285,0,3,1,33.0,8.6625
286,1,3,1,30.0,9.5
287,0,3,1,22.0,7.8958
288,1,2,1,42.0,13.0
289,1,3,0,22.0,7.75
290,1,1,0,26.0,78.85
291,1,1,0,19.0,91.0792
292,0,2,1,36.0,12.875
293,0,3,0,24.0,8.85
294,0,3,1,24.0,7.8958
295,0,1,1,37.0,27.7208
296,0,3,1,23.5,7.2292
297,0,1,0,2.0,151.55
298,1,1,1,37.0,30.5
299,1,1,0,50.0,247.5208
300,1,3,0,24.0,7.75
301,1,3,1,24.0,23.25
302,0,3,1,19.0,0.0
303,1,2,0,29.0,12.35
304,0,3,1,24.0,8.05
306,1,1,0,37.0,110.8833
307,1,1,0,17.0,108.9
308,0,2,1,30.0,24.0
309,1,1,0,30.0,56.9292
310,1,1,0,24.0,83.1583
311,1,1,0,18.0,262.375
312,0,2,0,26.0,26.0
313,0,3,1,28.0,7.8958
314,0,2,1,43.0,26.25
315,1,3,0,26.0,7.8542
316,1,2,0,24.0,26.0
317,0,2,1,54.0,14.0
318,1,1,0,31.0,164.8667
319,1,1,0,40.0,134.5
320,0,3,1,22.0,7.25
321,0,3,1,27.0,7.8958
322,1,2,0,30.0,12.35
323,1,2,0,22.0,29.0
324,0,3,1,24.0,69.55
325,1,1,0,36.0,135.6333
326,0,3,1,61.0,6.2375
327,1,2,0,36.0,13.0
328,1,3,0,31.0,20.525
329,1,1,0,16.0,57.9792
330,1,3,0,24.0,23.25
331,0,1,1,45.5,28.5
332,0,1,1,38.0,153.4625
333,0,3,1,16.0,18.0
334,1,1,0,37.0,133.65
335,0,3,1,24.0,7.8958
336,0,1,1,29.0,66.6
337,1,1,0,41.0,134.5
338,1,3,1,45.0,8.05
339,0,1,1,45.0,35.5
340,1,2,1,2.0,26.0
341,1,1,0,24.0,263.0
342,0,2,1,28.0,13.0
343,0,2,1,25.0,13.0
344,0,2,1,36.0,13.0
345,1,2,0,24.0,13.0
346,1,2,0,40.0,13.0
347,1,3,0,24.0,16.1
348,1,3,1,3.0,15.9
349,0,3,1,42.0,8.6625
350,0,3,1,23.0,9.225
351,0,1,1,37.0,35.0
352,0,3,1,15.0,7.2292
353,0,3,1,25.0,17.8
354,0,3,1,24.0,7.225
355,0,3,1,28.0,9.5
356,1,1,0,22.0,55.0
357,0,2,0,38.0,13.0
358,1,3,0,24.0,7.8792
359,1,3,0,24.0,7.8792
360,0,3,1,40.0,27.9
361,0,2,1,29.0,27.7208
362,0,3,0,45.0,14.4542
363,0,3,1,35.0,7.05
364,0,3,1,24.0,15.5
365,0,3,1,30.0,7.25
366,1,1,0,60.0,75.25
367,1,3,0,24.0,7.2292
368,1,3,0,24.0,7.75
369,1,1,0,24.0,69.3
370,1,1,1,25.0,55.4417
371,0,3,1,18.0,6.4958
372,0,3,1,19.0,8.05
373,0,1,1,22.0,135.6333
374,0,3,0,3.0,21.075
375,1,1,0,37.0,82.1708
376,1,3,0,22.0,7.25
377,0,1,1,27.0,211.5
378,0,3,1,20.0,4.0125
379,0,3,1,19.0,7.775
380,1,1,0,42.0,227.525
381,1,3,0,1.0,15.7417
382,0,3,1,32.0,7.925
383,1,1,0,35.0,52.0
384,0,3,1,24.0,7.8958
385,0,2,1,18.0,73.5
386,0,3,1,1.0,46.9
387,1,2,0,36.0,13.0
388,0,3,1,24.0,7.7292
389,1,2,0,17.0,12.0
390,1,1,1,36.0,120.0
391,1,3,1,21.0,7.7958
392,0,3,1,28.0,7.925
393,1,1,0,23.0,113.275
394,1,3,0,24.0,16.7
395,0,3,1,22.0,7.7958
396,0,3,0,31.0,7.8542
397,0,2,1,46.0,26.0
398,0,2,1,23.0,10.5
399,1,2,0,28.0,12.65
400,1,3,1,39.0,7.925
401,0,3,1,26.0,8.05
402,0,3,0,21.0,9.825
403,0,3,1,28.0,15.85
404,0,3,0,20.0,8.6625
405,0,2,1,34.0,21.0
406,0,3,1,51.0,7.75
407,1,2,1,3.0,18.75
408,0,3,1,21.0,7.775
409,0,3,0,24.0,25.4667
410,0,3,1,24.0,7.8958
411,0,3,1,24.0,6.8583
412,1,1,0,33.0,90.0
413,0,2,1,29.0,0.0
414,1,3,1,44.0,7.925
415,0,3,0,24.0,8.05
416,1,2,0,34.0,32.5
417,1,2,0,18.0,13.0
418,0,2,1,30.0,13.0
419,0,3,0,10.0,24.15
420,0,3,1,24.0,7.8958
421,0,3,1,21.0,7.7333
422,0,3,1,29.0,7.875
423,0,3,0,28.0,14.4
424,0,3,1,18.0,20.2125
425,0,3,1,24.0,7.25
426,1,2,0,28.0,26.0
427,1,2,0,19.0,26.0
428,0,3,1,24.0,7.75
429,1,3,1,32.0,8.05
430,1,1,1,28.0,26.55
431,1,3,0,24.0,16.1
432,1,2,0,42.0,26.0
433,0,3,1,17.0,7.125
434,0,1,1,50.0,55.9
435,1,1,0,14.0,120.0
436,0,3,0,21.0,34.375
437,1,2,0,24.0,18.75
438,0,1,1,64.0,263.0
439,0,2,1,31.0,10.5
440,1,2,0,45.0,26.25
441,0,3,1,20.0,9.5
442,0,3,1,25.0,7.775
443,1,2,0,28.0,13.0
444,1,3,1,24.0,8.1125
445,1,1,1,4.0,81.8583
446,1,2,0,13.0,19.5
447,1,1,1,34.0,26.55
448,1,3,0,5.0,19.2583
449,1,1,1,52.0,30.5
450,0,2,1,36.0,27.75
451,0,3,1,24.0,19.9667
452,0,1,1,30.0,27.75
453,1,1,1,49.0,89.1042
454,0,3,1,24.0,8.05
455,1,3,1,29.0,7.8958
456,0,1,1,65.0,26.55
457,1,1,0,37.0,51.8625
458,1,2,0,50.0,10.5
459,0,3,1,24.0,7.75
460,1,1,1,48.0,26.55
461,0,3,1,34.0,8.05
462,0,1,1,47.0,38.5
463,0,2,1,48.0,13.0
464,0,3,1,24.0,8.05
465,0,3,1,38.0,7.05
466,0,2,1,29.0,0.0
467,0,1,1,56.0,26.55
468,0,3,1,24.0,7.725
470,0,3,1,24.0,7.25
471,0,3,1,38.0,8.6625
472,1,2,0,33.0,27.75
473,1,2,0,23.0,13.7917
474,0,3,0,22.0,9.8375
475,0,1,1,37.0,52.0
476,0,2,1,34.0,21.0
477,0,3,1,29.0,7.0458
478,0,3,1,22.0,7.5208
479,1,3,0,2.0,12.2875
480,0,3,1,9.0,46.9
481,0,2,1,29.0,0.0
482,0,3,1,50.0,8.05
483,1,3,0,63.0,9.5875
484,1,1,1,25.0,91.0792
485,0,3,0,24.0,25.4667
486,1,1,0,35.0,90.0
487,0,1,1,58.0,29.7
488,0,3,1,30.0,8.05
489,1,3,1,9.0,15.9
490,0,3,1,24.0,19.9667
491,0,3,1,21.0,7.25
492,0,1,1,55.0,30.5
493,0,1,1,71.0,49.5042
494,0,3,1,21.0,8.05
495,0,3,1,24.0,14.4583
496,1,1,0,54.0,78.2667
497,0,3,1,24.0,15.1
498,0,1,0,25.0,151.55
499,0,3,1,24.0,7.7958
500,0,3,1,17.0,8.6625
501,0,3,0,21.0,7.75
502,0,3,0,24.0,7.6292
503,0,3,0,37.0,9.5875
504,1,1,0,16.0,86.5
505,0,1,1,18.0,108.9
506,1,2,0,33.0,26.0
507,1,1,1,37.0,26.55
508,0,3,1,28.0,22.525
509,1,3,1,26.0,56.4958
510,1,3,1,29.0,7.75
511,0,3,1,24.0,8.05
512,1,1,1,36.0,26.2875
513,1,1,0,54.0,59.4
514,0,3,1,24.0,7.4958
515,0,1,1,47.0,34.0208
516,1,2,0,34.0,10.5
517,0,3,1,24.0,24.15
518,1,2,0,36.0,26.0
519,0,3,1,32.0,7.8958
520,1,1,0,30.0,93.5
521,0,3,1,22.0,7.8958
522,0,3,1,24.0,7.225
523,1,1,0,44.0,57.9792
524,0,3,1,24.0,7.2292
525,0,3,1,40.5,7.75
526,1,2,0,50.0,10.5
527,0,1,1,37.0,221.7792
528,0,3,1,39.0,7.925
529,0,2,1,23.0,11.5
530,1,2,0,2.0,26.0
531,0,3,1,24.0,7.2292
532,0,3,1,17.0,7.2292
533,1,3,0,24.0,22.3583
534,0,3,0,30.0,8.6625
535,1,2,0,7.0,26.25
536,0,1,1,45.0,26.55
537,1,1,0,30.0,106.425
538,0,3,1,24.0,14.5
539,1,1,0,22.0,49.5
540,1,1,0,36.0,71.0
541,0,3,0,9.0,31.275
542,0,3,0,11.0,31.275
543,1,2,1,32.0,26.0
544,0,1,1,50.0,106.425
545,0,1,1,64.0,26.0
546,1,2,0,19.0,26.0
547,1,2,1,29.0,13.8625
548,0,3,1,33.0,20.525
549,1,2,1,8.0,36.75
550,1,1,1,17.0,110.8833
551,0,2,1,27.0,26.0
552,0,3,1,24.0,7.8292
553,1,3,1,22.0,7.225
554,1,3,0,22.0,7.775
555,0,1,1,62.0,26.55
556,1,1,0,48.0,39.6
557,0,1,1,37.0,227.525
558,1,1,0,39.0,79.65
559,1,3,0,36.0,17.4
560,0,3,1,24.0,7.75
561,0,3,1,40.0,7.8958
562,0,2,1,28.0,13.5
563,0,3,1,24.0,8.05
564,0,3,0,24.0,8.05
565,0,3,1,24.0,24.15
566,0,3,1,19.0,7.8958
567,0,3,0,29.0,21.075
568,0,3,1,24.0,7.2292
569,1,3,1,32.0,7.8542
570,1,2,1,62.0,10.5
571,1,1,0,53.0,51.4792
572,1,1,1,36.0,26.3875
573,1,3,0,24.0,7.75
574,0,3,1,16.0,8.05
575,0,3,1,19.0,14.5
576,1,2,0,34.0,13.0
577,1,1,0,39.0,55.9
578,0,3,0,24.0,14.4583
579,1,3,1,32.0,7.925
580,1,2,0,25.0,30.0
581,1,1,0,39.0,110.8833
582,0,2,1,54.0,26.0
583,0,1,1,36.0,40.125
584,0,3,1,24.0,8.7125
585,1,1,0,18.0,79.65
586,0,2,1,47.0,15.0
587,1,1,1,60.0,79.2
588,0,3,1,22.0,8.05
589,0,3,1,24.0,8.05
590,0,3,1,35.0,7.125
591,1,1,0,52.0,78.2667
592,0,3,1,47.0,7.25
593,0,3,0,24.0,7.75
594,0,2,1,37.0,26.0
595,0,3,1,36.0,24.15
596,1,2,0,29.0,33.0
597,0,3,1,49.0,0.0
598,0,3,1,24.0,7.225
599,1,1,1,49.0,56.9292
600,1,2,0,24.0,27.0
601,0,3,1,24.0,7.8958
602,0,1,1,37.0,42.4
603,0,3,1,44.0,8.05
604,1,1,1,35.0,26.55
605,0,3,1,36.0,15.55
606,0,3,1,30.0,7.8958
607,1,1,1,27.0,30.5
608,1,2,0,22.0,41.5792
609,1,1,0,40.0,153.4625
610,0,3,0,39.0,31.275
611,0,3,1,24.0,7.05
612,1,3,0,24.0,15.5
613,0,3,1,24.0,7.75
614,0,3,1,35.0,8.05
615,1,2,0,24.0,65.0
616,0,3,1,34.0,14.4
617,0,3,0,26.0,16.1
618,1,2,0,4.0,39.0
619,0,2,1,26.0,10.5
620,0,3,1,27.0,14.4542
621,1,1,1,42.0,52.5542
622,1,3,1,20.0,15.7417
623,0,3,1,21.0,7.8542
624,0,3,1,21.0,16.1
625,0,1,1,61.0,32.3208
626,0,2,1,57.0,12.35
627,1,1,0,21.0,77.9583
628,0,3,1,26.0,7.8958
629,0,3,1,24.0,7.7333
630,1,1,1,80.0,30.0
631,0,3,1,51.0,7.0542
632,1,1,1,32.0,30.5
633,0,1,1,37.0,0.0
634,0,3,0,9.0,27.9
635,1,2,0,28.0,13.0
636,0,3,1,32.0,7.925
637,0,2,1,31.0,26.25
638,0,3,0,41.0,39.6875
639,0,3,1,24.0,16.1
640,0,3,1,20.0,7.8542
641,1,1,0,24.0,69.3
642,0,3,0,2.0,27.9
643,1,3,1,24.0,56.4958
645,1,1,1,48.0,76.7292
646,0,3,1,19.0,7.8958
647,1,1,1,56.0,35.5
648,0,3,1,24.0,7.55
649,1,3,0,23.0,7.55
650,0,3,1,24.0,7.8958
651,1,2,0,18.0,23.0
652,0,3,1,21.0,8.4333
653,1,3,0,24.0,7.8292
654,0,3,0,18.0,6.75
655,0,2,1,24.0,73.5
656,0,3,1,24.0,7.8958
657,0,3,0,32.0,15.5
658,0,2,1,23.0,13.0
659,0,1,1,58.0,113.275
660,1,1,1,50.0,133.65
661,0,3,1,40.0,7.225
662,0,1,1,47.0,25.5875
663,0,3,1,36.0,7.4958
664,1,3,1,20.0,7.925
665,0,2,1,32.0,73.5
666,0,2,1,25.0,13.0
667,0,3,1,24.0,7.775
668,0,3,1,43.0,8.05
669,1,1,0,37.0,52.0
670,1,2,0,40.0,39.0
671,0,1,1,31.0,52.0
672,0,2,1,70.0,10.5
673,1,2,1,31.0,13.0
674,0,2,1,29.0,0.0
675,0,3,1,18.0,7.775
676,0,3,1,24.5,8.05
677,1,3,0,18.0,9.8417
678,0,3,0,43.0,46.9
679,1,1,1,36.0,512.3292
680,0,3,0,24.0,8.1375
681,1,1,1,27.0,76.7292
682,0,3,1,20.0,9.225
683,0,3,1,14.0,46.9
684,0,2,1,60.0,39.0
685,0,2,1,25.0,41.5792
686,0,3,1,14.0,39.6875
687,0,3,1,19.0,10.1708
688,0,3,1,18.0,7.7958
689,1,1,0,15.0,211.3375
690,1,1,1,31.0,57.0
691,1,3,0,4.0,13.4167
692,1,3,1,24.0,56.4958
693,0,3,1,25.0,7.225
694,0,1,1,60.0,26.55
695,0,2,1,52.0,13.5
696,0,3,1,44.0,8.05
697,1,3,0,24.0,7.7333
698,0,1,1,49.0,110.8833
699,0,3,1,42.0,7.65
700,1,1,0,18.0,227.525
701,1,1,1,35.0,26.2875
702,0,3,0,18.0,14.4542
703,0,3,1,25.0,7.7417
704,0,3,1,26.0,7.8542
705,0,2,1,39.0,26.0
706,1,2,0,45.0,13.5
707,1,1,1,42.0,26.2875
708,1,1,0,22.0,151.55
709,1,3,1,24.0,15.2458
710,1,1,0,24.0,49.5042
711,0,1,1,37.0,26.55
712,1,1,1,48.0,52.0
713,0,3,1,29.0,9.4833
714,0,2,1,52.0,13.0
715,0,3,1,19.0,7.65
716,1,1,0,38.0,227.525
717,1,2,0,27.0,10.5
718,0,3,1,24.0,15.5
719,0,3,1,33.0,7.775
720,1,2,0,6.0,33.0
721,0,3,1,17.0,7.0542
722,0,2,1,34.0,13.0
723,0,2,1,50.0,13.0
724,1,1,1,27.0,53.1
725,0,3,1,20.0,8.6625
726,1,2,0,30.0,21.0
727,1,3,0,24.0,7.7375
728,0,2,1,25.0,26.0
729,0,3,0,25.0,7.925
730,1,1,0,29.0,211.3375
731,0,3,1,11.0,18.7875
732,0,2,1,29.0,0.0
733,0,2,1,23.0,13.0
734,0,2,1,23.0,13.0
735,0,3,1,28.5,16.1
736,0,3,0,48.0,34.375
737,1,1,1,35.0,512.3292
738,0,3,1,24.0,7.8958
739,0,3,1,24.0,7.8958
740,1,1,1,37.0,30.0
741,0,1,1,36.0,78.85
742,1,1,0,21.0,262.375
743,0,3,1,24.0,16.1
744,1,3,1,31.0,7.925
745,0,1,1,70.0,71.0
746,0,3,1,16.0,20.25
747,1,2,0,30.0,13.0
748,0,1,1,19.0,53.1
749,0,3,1,31.0,7.75
750,1,2,0,4.0,23.0
751,1,3,1,6.0,12.475
752,0,3,1,33.0,9.5
753,0,3,1,23.0,7.8958
754,1,2,0,48.0,65.0
756,0,3,1,28.0,7.7958
757,0,2,1,18.0,11.5
758,0,3,1,34.0,8.05
759,1,1,0,33.0,86.5
760,0,3,1,24.0,14.5
761,0,3,1,41.0,7.125
762,1,3,1,20.0,7.2292
763,1,1,0,36.0,120.0
764,0,3,1,16.0,7.775
765,1,1,0,51.0,77.9583
766,0,1,1,37.0,39.6
767,0,3,0,30.5,7.75
768,0,3,1,24.0,24.15
769,0,3,1,32.0,8.3625
770,0,3,1,24.0,9.5
771,0,3,1,48.0,7.8542
772,0,2,0,57.0,10.5
773,0,3,1,24.0,7.225
774,1,2,0,54.0,23.0
775,0,3,1,18.0,7.75
776,0,3,1,24.0,7.75
777,1,3,0,5.0,12.475
778,0,3,1,24.0,7.7375
779,1,1,0,43.0,211.3375
780,1,3,0,13.0,7.2292
781,1,1,0,17.0,57.0
782,0,1,1,29.0,30.0
783,0,3,1,24.0,23.45
784,0,3,1,25.0,7.05
785,0,3,1,25.0,7.25
786,1,3,0,18.0,7.4958
787,0,3,1,8.0,29.125
788,1,3,1,1.0,20.575
789,0,1,1,46.0,79.2
790,0,3,1,24.0,7.75
791,0,2,1,16.0,26.0
792,0,3,0,24.0,69.55
793,0,1,1,37.0,30.6958
794,0,3,1,25.0,7.8958
795,0,2,1,39.0,13.0
796,1,1,0,49.0,25.9292
797,1,3,0,31.0,8.6833
798,0,3,1,30.0,7.2292
799,0,3,0,30.0,24.15
800,0,2,1,34.0,13.0
801,1,2,0,31.0,26.25
802,1,1,1,11.0,120.0
804,1,3,1,27.0,6.975
805,0,3,1,31.0,7.775
806,0,1,1,39.0,0.0
807,0,3,0,18.0,7.775
808,0,2,1,39.0,13.0
809,1,1,0,33.0,53.1
810,0,3,1,26.0,7.8875
811,0,3,1,39.0,24.15
812,0,2,1,35.0,10.5
813,0,3,0,6.0,31.275
814,0,3,1,30.5,8.05
815,0,1,1,37.0,0.0
816,0,3,0,23.0,7.925
817,0,2,1,31.0,37.0042
818,0,3,1,43.0,6.45
819,0,3,1,10.0,27.9
820,1,1,0,52.0,93.5
821,1,3,1,27.0,8.6625
822,0,1,1,38.0,0.0
823,1,3,0,27.0,12.475
824,0,3,1,2.0,39.6875
825,0,3,1,24.0,6.95
826,0,3,1,24.0,56.4958
827,1,2,1,1.0,37.0042
828,1,3,1,24.0,7.75
829,1,1,0,62.0,80.0
830,1,3,0,15.0,14.4542
832,0,3,1,24.0,7.2292
833,0,3,1,23.0,7.8542
834,0,3,1,18.0,8.3
835,1,1,0,39.0,83.1583
836,0,3,1,21.0,8.6625
837,0,3,1,24.0,8.05
838,1,3,1,32.0,56.4958
839,1,1,1,37.0,29.7
840,0,3,1,20.0,7.925
841,0,2,1,16.0,10.5
842,1,1,0,30.0,31.0
843,0,3,1,34.5,6.4375
844,0,3,1,17.0,8.6625
845,0,3,1,42.0,7.55
846,0,3,1,24.0,69.55
847,0,3,1,35.0,7.8958
848,0,2,1,28.0,33.0
849,1,1,0,37.0,89.1042
850,0,3,1,4.0,31.275
851,0,3,1,74.0,7.775
852,0,3,0,9.0,15.2458
853,1,1,0,16.0,39.4
854,0,2,0,44.0,26.0
855,1,3,0,18.0,9.35
856,1,1,0,45.0,164.8667
857,1,1,1,51.0,26.55
858,1,3,0,24.0,19.2583
859,0,3,1,24.0,7.2292
860,0,3,1,41.0,14.1083
861,0,2,1,21.0,11.5
